,index,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,0,1,2
65,319988,319989,0,43,1,28.0,1,0,29443.0,152.0,39,0,1,0,0
66,218788,218789,1,20,1,5.0,0,1,22137.0,160.0,92,0,0,1,0
67,166227,166228,0,25,1,10.0,1,0,34959.0,152.0,213,0,0,1,0
68,250473,250474,1,21,1,46.0,1,0,19070.0,160.0,22,0,0,1,0
69,231725,231726,1,45,1,28.0,0,1,49614.0,25.0,278,0,1,0,0
70,258865,258866,0,30,1,3.0,0,0,19406.0,157.0,88,0,1,0,0
71,289811,289812,0,47,1,46.0,1,0,48205.0,124.0,40,0,1,0,0
72,343787,343788,1,42,1,28.0,0,1,61252.0,124.0,227,1,1,0,0
73,35363,35364,1,52,1,20.0,0,1,2630.0,26.0,76,0,1,0,0
74,227886,227887,1,45,1,28.0,0,1,41924.0,26.0,164,0,1,0,0
75,184113,184114,1,78,1,8.0,1,0,2630.0,25.0,279,0,1,0,0
76,243015,243016,1,45,1,41.0,0,1,31462.0,26.0,75,0,1,0,0
77,177216,177217,1,21,1,45.0,1,0,21054.0,152.0,44,0,0,1,0
78,22728,22729,1,47,1,11.0,0,1,18633.0,124.0,193,1,1,0,0
79,84734,84735,1,26,1,30.0,1,0,2630.0,152.0,225,0,0,1,0
80,109916,109917,1,34,1,46.0,0,0,24277.0,124.0,107,0,1,0,0
81,109972,109973,0,48,1,6.0,0,1,28885.0,26.0,56,1,1,0,0
82,100229,100230,1,60,1,28.0,0,1,28964.0,156.0,230,1,1,0,0
83,144778,144779,1,23,1,39.0,0,1,2630.0,151.0,192,0,0,1,0
84,34396,34397,1,60,1,23.0,0,1,27082.0,157.0,205,0,1,0,0
85,232656,232657,1,53,1,28.0,1,0,41153.0,26.0,229,0,1,0,0
86,238454,238455,0,23,1,17.0,1,0,29361.0,152.0,86,0,0,1,0
87,48355,48356,1,62,1,29.0,0,1,2630.0,156.0,280,1,1,0,0
88,323570,323571,1,50,1,11.0,0,0,2630.0,26.0,249,0,1,0,0
89,308532,308533,0,27,1,26.0,1,0,29678.0,160.0,78,0,0,1,0
90,216557,216558,0,27,1,28.0,0,0,2630.0,122.0,153,0,1,0,0
91,62944,62945,0,25,1,15.0,1,0,41909.0,152.0,82,0,0,1,0
92,103748,103749,0,30,1,13.0,0,1,21802.0,154.0,178,0,1,0,0
93,184045,184046,0,25,1,30.0,1,0,18656.0,152.0,233,0,0,1,0
94,145560,145561,0,24,1,28.0,0,1,40746.0,152.0,257,1,0,1,0
95,305167,305168,1,23,1,41.0,1,0,24824.0,152.0,148,0,0,1,0
96,21386,21387,1,33,1,30.0,0,1,25519.0,163.0,234,1,1,0,0
97,371285,371286,1,67,1,28.0,0,1,28454.0,122.0,118,0,0,0,1
98,366807,366808,1,69,1,28.0,0,1,43816.0,122.0,130,0,0,0,1
99,342735,342736,0,26,1,10.0,1,1,26419.0,152.0,126,0,0,1,0
100,57125,57126,1,54,1,46.0,0,1,29440.0,11.0,177,0,0,0,1
101,50178,50179,0,27,1,33.0,1,0,28067.0,152.0,20,0,0,1,0
102,253812,253813,1,43,1,29.0,0,1,2630.0,156.0,175,0,0,0,1
103,112604,112605,1,43,1,8.0,0,1,27410.0,25.0,106,1,1,0,0
104,143890,143891,1,48,1,28.0,0,1,30472.0,124.0,148,0,1,0,0
105,297972,297973,1,25,1,6.0,1,0,28560.0,152.0,205,0,0,1,0
106,201657,201658,1,24,1,36.0,0,1,24605.0,152.0,58,0,0,1,0
107,221553,221554,0,22,1,15.0,0,0,71053.0,152.0,99,0,0,1,0
108,116835,116836,1,43,1,28.0,0,1,28764.0,124.0,63,1,1,0,0
109,23461,23462,0,55,1,28.0,1,0,45056.0,26.0,248,0,1,0,0
110,67761,67762,1,36,1,28.0,0,1,45531.0,156.0,176,0,0,0,1
111,157689,157690,1,26,1,10.0,1,0,22966.0,152.0,82,0,0,1,0
112,4935,4936,0,23,1,45.0,1,0,26489.0,152.0,61,0,0,1,0
113,10689,10690,1,21,1,17.0,1,0,25635.0,152.0,214,0,0,1,0
114,314701,314702,1,57,1,27.0,1,0,27844.0,124.0,53,0,1,0,0
115,37749,37750,1,46,1,8.0,0,1,50185.0,25.0,136,0,1,0,0
116,28439,28440,1,28,1,13.0,1,0,47812.0,152.0,253,0,0,1,0
117,238166,238167,0,43,1,15.0,0,1,40175.0,26.0,159,0,1,0,0
118,95740,95741,0,23,1,37.0,0,1,29898.0,152.0,187,0,0,1,0
119,270542,270543,1,78,1,28.0,0,1,39726.0,24.0,68,0,1,0,0
120,334237,334238,0,41,1,8.0,0,1,33655.0,7.0,283,0,1,0,0
121,124252,124253,0,49,1,18.0,1,0,37132.0,26.0,72,0,1,0,0
122,62897,62898,0,40,1,28.0,1,0,53492.0,124.0,162,0,1,0,0
123,294485,294486,0,28,1,28.0,1,0,2630.0,152.0,87,0,0,1,0
124,56204,56205,0,43,1,28.0,0,1,42469.0,26.0,12,0,1,0,0
125,290210,290211,1,31,1,41.0,1,0,53463.0,152.0,141,0,0,1,0
126,62476,62477,0,40,1,8.0,0,1,61257.0,26.0,90,0,1,0,0
127,355057,355058,1,74,1,47.0,0,0,31070.0,124.0,251,0,1,0,0
128,136786,136787,1,24,1,15.0,0,0,38043.0,152.0,69,0,0,1,0
129,84850,84851,1,25,1,8.0,1,0,28591.0,152.0,106,0,0,1,0
130,248488,248489,0,45,1,28.0,0,1,39749.0,124.0,203,0,0,0,1
131,241095,241096,0,28,1,28.0,0,1,2630.0,156.0,38,0,1,0,0
132,278624,278625,1,57,1,38.0,1,0,2630.0,124.0,152,0,1,0,0
133,125270,125271,1,47,1,28.0,1,0,45811.0,26.0,284,0,1,0,0
134,232385,232386,0,37,1,6.0,1,1,2630.0,152.0,240,0,1,0,0
135,198703,198704,0,28,1,45.0,0,0,40036.0,152.0,169,0,0,1,0
136,194462,194463,1,26,1,33.0,1,0,32967.0,152.0,192,0,0,1,0
137,276007,276008,0,23,1,33.0,1,0,31491.0,152.0,246,0,0,1,0
138,329119,329120,1,49,1,24.0,0,1,2630.0,157.0,77,0,1,0,0
139,69597,69598,1,29,1,10.0,1,0,20217.0,152.0,140,0,0,1,0
140,237788,237789,1,24,1,35.0,1,0,24777.0,152.0,156,0,0,1,0
141,163152,163153,1,45,1,8.0,0,1,29021.0,154.0,247,1,1,0,0
142,274244,274245,1,73,1,8.0,0,1,41675.0,26.0,24,0,1,0,0
143,256934,256935,1,50,1,28.0,1,0,31781.0,160.0,28,0,1,0,0
144,52860,52861,1,60,1,28.0,0,1,51388.0,26.0,123,1,0,0,1
145,168395,168396,1,46,1,28.0,1,0,38070.0,13.0,260,0,1,0,0
146,209719,209720,0,34,1,35.0,0,1,29869.0,124.0,292,1,1,0,0
147,298525,298526,1,63,1,46.0,1,0,28616.0,11.0,298,0,1,0,0
148,51186,51187,1,23,1,2.0,0,0,31473.0,152.0,258,0,0,1,0
149,106853,106854,0,41,1,28.0,1,1,43149.0,26.0,234,0,1,0,0
150,237045,237046,0,63,1,48.0,0,1,2630.0,26.0,206,0,1,0,0
151,80244,80245,0,27,1,41.0,1,0,42347.0,152.0,173,0,0,1,0
152,227692,227693,0,20,1,28.0,0,0,2630.0,156.0,195,0,1,0,0
153,373501,373502,1,61,1,28.0,0,1,55016.0,26.0,191,0,0,0,1
154,228466,228467,1,37,1,17.0,0,1,2630.0,156.0,61,0,1,0,0
155,85297,85298,0,57,1,28.0,1,0,29544.0,26.0,286,0,1,0,0
156,259093,259094,1,71,1,37.0,0,1,36041.0,128.0,238,0,1,0,0
157,325349,325350,0,24,1,47.0,1,0,33364.0,152.0,294,0,0,1,0
158,224134,224135,1,23,1,8.0,1,0,42187.0,152.0,144,0,0,1,0
159,121485,121486,1,22,1,37.0,0,1,36036.0,152.0,218,0,0,1,0
160,240259,240260,1,47,1,38.0,0,1,52992.0,26.0,209,1,1,0,0
161,379279,379280,1,22,1,28.0,0,1,38536.0,152.0,214,1,0,1,0
162,337105,337106,0,47,1,28.0,0,1,39782.0,13.0,206,1,0,0,1
163,141790,141791,0,23,1,41.0,1,0,36833.0,152.0,131,0,0,1,0
164,20444,20445,0,25,1,28.0,1,0,47086.0,152.0,134,0,0,1,0
165,15963,15964,0,58,1,8.0,1,0,34640.0,124.0,277,0,1,0,0
166,87664,87665,0,45,1,42.0,0,1,2630.0,30.0,184,0,1,0,0
167,192950,192951,0,64,1,41.0,1,0,2630.0,120.0,257,0,1,0,0
168,36726,36727,1,26,1,29.0,1,0,40339.0,152.0,104,0,0,1,0
169,8823,8824,0,25,1,36.0,1,0,45306.0,152.0,73,0,0,1,0
170,67205,67206,0,25,1,13.0,0,1,26432.0,152.0,118,0,0,1,0
171,307955,307956,1,52,1,28.0,0,1,54988.0,24.0,110,0,1,0,0
172,144862,144863,1,61,1,41.0,0,0,29719.0,26.0,142,0,1,0,0
173,34931,34932,1,26,1,33.0,1,0,27140.0,152.0,172,0,0,1,0
174,355989,355990,0,23,1,30.0,1,0,24730.0,152.0,136,0,0,1,0
175,39994,39995,1,68,0,8.0,1,0,40427.0,124.0,199,0,1,0,0
176,332197,332198,1,42,1,8.0,0,1,43440.0,7.0,50,0,1,0,0
177,353333,353334,0,23,1,11.0,1,0,45676.0,152.0,79,0,0,1,0
178,217822,217823,0,27,1,8.0,0,1,48026.0,152.0,97,0,0,1,0
179,290778,290779,0,33,1,28.0,1,0,31603.0,152.0,136,0,0,1,0
180,177056,177057,1,44,1,29.0,0,0,40171.0,124.0,192,0,1,0,0
181,174135,174136,1,59,1,28.0,1,0,24773.0,152.0,17,0,1,0,0
182,319183,319184,0,45,1,28.0,0,1,57709.0,124.0,129,0,1,0,0
183,108629,108630,0,42,1,15.0,0,1,22715.0,26.0,167,0,1,0,0
184,87204,87205,0,49,1,28.0,1,0,35419.0,52.0,238,0,1,0,0
185,276062,276063,0,28,1,32.0,0,1,40098.0,152.0,144,0,0,1,0
186,365158,365159,1,22,1,3.0,1,0,54903.0,152.0,120,0,0,1,0
187,28461,28462,0,22,1,29.0,1,0,35035.0,152.0,94,0,0,1,0
188,24498,24499,0,22,1,15.0,1,0,41889.0,152.0,196,0,0,1,0
189,183030,183031,0,68,1,28.0,0,1,52816.0,26.0,230,0,1,0,0
190,55274,55275,0,64,1,8.0,0,1,65152.0,7.0,115,0,1,0,0
191,369050,369051,0,22,1,44.0,0,1,28394.0,152.0,282,0,0,1,0
192,299465,299466,1,48,1,35.0,0,1,41466.0,26.0,108,1,0,0,1
193,9730,9731,0,23,1,34.0,0,1,31072.0,26.0,101,0,0,1,0
194,18682,18683,0,28,1,28.0,1,0,47022.0,152.0,286,0,0,1,0
195,39677,39678,1,26,1,14.0,1,0,27566.0,152.0,69,0,0,1,0
196,364030,364031,0,40,1,28.0,0,1,2630.0,26.0,24,0,1,0,0
197,258198,258199,1,24,1,47.0,0,1,36756.0,152.0,174,0,0,1,0
198,138007,138008,1,56,1,8.0,0,1,44657.0,156.0,79,0,1,0,0
199,219287,219288,1,23,1,45.0,0,1,29762.0,152.0,163,0,0,1,0
200,263288,263289,0,27,1,46.0,0,1,2630.0,156.0,148,1,1,0,0
201,223959,223960,0,49,1,26.0,0,1,29742.0,152.0,36,0,1,0,0
202,127390,127391,0,44,1,3.0,1,0,2630.0,26.0,202,0,1,0,0
203,55689,55690,1,36,1,43.0,0,1,34253.0,156.0,238,0,1,0,0
204,257557,257558,1,37,1,28.0,0,1,32491.0,26.0,45,0,1,0,0
205,204492,204493,1,73,1,28.0,0,1,55773.0,124.0,219,0,1,0,0
206,162602,162603,1,44,1,48.0,0,1,2630.0,124.0,152,0,1,0,0
207,73860,73861,1,24,1,8.0,1,0,44588.0,152.0,232,0,0,1,0
208,151669,151670,0,42,1,28.0,0,1,35686.0,13.0,79,0,1,0,0
209,122265,122266,1,50,1,28.0,0,1,38618.0,26.0,108,0,1,0,0
210,319746,319747,0,25,1,15.0,1,0,28618.0,152.0,101,0,0,1,0
211,94870,94871,0,21,1,23.0,1,0,2630.0,152.0,24,0,0,1,0
212,120126,120127,1,28,1,28.0,1,0,39603.0,152.0,94,0,0,1,0
213,139992,139993,0,72,1,31.0,0,1,2630.0,124.0,250,0,1,0,0
214,161039,161040,0,21,1,16.0,1,1,2630.0,160.0,91,0,0,1,0
215,331295,331296,0,45,1,46.0,1,0,21489.0,26.0,191,0,1,0,0
216,42171,42172,1,24,1,13.0,1,0,2630.0,152.0,239,0,0,1,0
217,167466,167467,1,66,1,28.0,0,1,2630.0,122.0,202,0,1,0,0
218,62353,62354,1,42,1,50.0,1,0,2630.0,124.0,27,0,1,0,0
219,12865,12866,1,36,1,28.0,0,1,36573.0,26.0,261,0,1,0,0
220,148457,148458,0,35,1,28.0,0,1,22809.0,23.0,12,1,1,0,0
221,161224,161225,1,25,1,2.0,1,0,39099.0,152.0,104,0,0,1,0
222,157456,157457,0,22,1,17.0,0,1,25842.0,152.0,27,0,0,1,0
223,172246,172247,0,21,1,34.0,0,1,32273.0,160.0,248,0,0,1,0
224,235705,235706,0,73,1,28.0,1,0,41948.0,122.0,211,0,1,0,0
225,228026,228027,0,44,1,28.0,1,0,35294.0,124.0,18,0,1,0,0
226,255494,255495,0,50,1,28.0,1,0,33143.0,124.0,281,0,1,0,0
227,66651,66652,0,26,1,47.0,1,0,40557.0,152.0,171,0,0,1,0
228,288903,288904,1,25,1,50.0,1,0,33416.0,152.0,258,0,0,1,0
229,91510,91511,1,52,1,48.0,0,1,2630.0,26.0,22,1,1,0,0
230,86545,86546,1,52,1,45.0,0,1,28551.0,26.0,74,0,1,0,0
231,347608,347609,0,23,1,46.0,0,1,26626.0,152.0,227,0,0,1,0
232,293184,293185,0,50,1,15.0,0,1,36550.0,154.0,127,1,1,0,0
233,344028,344029,0,25,1,6.0,0,0,27243.0,152.0,57,0,0,1,0
234,65821,65822,0,52,1,28.0,1,0,69856.0,124.0,76,0,1,0,0
235,377076,377077,0,22,1,12.0,1,0,23101.0,152.0,282,0,0,1,0
236,85528,85529,1,24,1,11.0,0,0,33826.0,152.0,259,1,0,1,0
237,361388,361389,1,51,1,28.0,0,1,34104.0,122.0,246,1,1,0,0
238,24844,24845,0,27,1,28.0,1,0,29246.0,152.0,38,0,0,1,0
239,118978,118979,1,45,1,26.0,0,0,29259.0,120.0,73,0,1,0,0
240,152678,152679,0,24,1,35.0,0,0,24069.0,152.0,74,1,0,1,0
241,26803,26804,1,46,1,41.0,0,1,2630.0,157.0,14,0,1,0,0
242,232544,232545,1,37,1,9.0,1,0,25054.0,152.0,85,0,1,0,0
243,69083,69084,0,37,1,29.0,0,1,28647.0,26.0,95,1,1,0,0
244,357977,357978,1,26,1,18.0,0,1,30350.0,152.0,225,0,0,1,0
245,343223,343224,1,46,1,11.0,0,1,30653.0,124.0,20,0,1,0,0
246,293025,293026,1,54,1,28.0,0,0,31137.0,26.0,52,0,1,0,0
247,173824,173825,0,25,1,2.0,0,1,30674.0,152.0,281,1,0,1,0
248,81920,81921,0,47,1,12.0,0,1,2630.0,156.0,96,1,1,0,0
249,133392,133393,0,22,1,8.0,0,1,37175.0,152.0,240,0,0,1,0
250,296972,296973,0,23,1,12.0,1,0,28824.0,152.0,29,0,0,1,0
251,144667,144668,1,23,1,30.0,0,1,23537.0,152.0,167,0,0,1,0
252,128726,128727,1,57,1,30.0,0,1,2630.0,124.0,211,1,1,0,0
253,110924,110925,1,34,1,15.0,1,0,24317.0,152.0,238,0,1,0,0
254,19144,19145,0,63,1,8.0,0,1,31386.0,25.0,109,0,1,0,0
255,268025,268026,1,52,1,28.0,0,1,40904.0,26.0,160,1,0,0,1
256,278985,278986,0,47,1,45.0,0,1,2630.0,156.0,179,0,1,0,0
257,374269,374270,0,30,1,50.0,1,0,24880.0,152.0,250,0,0,1,0
258,180191,180192,0,31,1,37.0,0,1,32234.0,124.0,249,0,0,1,0
259,207752,207753,0,37,1,46.0,0,1,2630.0,26.0,88,0,1,0,0
260,98385,98386,1,34,1,26.0,0,1,2630.0,124.0,57,0,1,0,0
261,45154,45155,1,57,1,8.0,1,1,36822.0,124.0,117,0,1,0,0
262,379346,379347,1,24,1,8.0,1,0,40186.0,152.0,273,0,0,1,0
263,327658,327659,1,24,1,17.0,1,0,31241.0,152.0,191,0,0,1,0
264,137935,137936,1,73,1,26.0,0,1,30074.0,124.0,299,0,1,0,0
265,169913,169914,1,48,1,28.0,1,0,2630.0,124.0,134,0,1,0,0
266,87365,87366,1,58,0,28.0,1,0,34784.0,26.0,33,0,1,0,0
267,342095,342096,0,43,1,28.0,0,1,47081.0,26.0,12,0,1,0,0
268,162956,162957,1,51,1,3.0,0,1,26575.0,154.0,217,1,1,0,0
269,163879,163880,1,48,1,28.0,0,1,58254.0,124.0,130,1,1,0,0
270,362948,362949,1,45,1,28.0,1,0,39268.0,157.0,83,0,1,0,0
271,137692,137693,1,51,1,45.0,0,0,30360.0,26.0,107,0,1,0,0
272,72630,72631,0,23,1,40.0,1,0,19096.0,152.0,143,0,0,1,0
273,55593,55594,0,47,1,28.0,0,1,33459.0,124.0,129,0,1,0,0
274,37321,37322,0,28,1,10.0,0,1,25342.0,152.0,251,0,0,1,0
275,298927,298928,0,53,1,28.0,1,0,2630.0,152.0,81,0,1,0,0
276,244492,244493,0,21,1,30.0,1,0,32605.0,152.0,143,0,0,1,0
277,73481,73482,1,33,1,28.0,1,1,24507.0,156.0,23,0,1,0,0
278,213072,213073,1,51,1,28.0,0,1,34609.0,26.0,145,1,1,0,0
279,274229,274230,1,30,1,15.0,1,0,41416.0,8.0,238,0,1,0,0
280,68294,68295,1,27,1,28.0,0,1,55673.0,163.0,182,0,1,0,0
281,195638,195639,0,21,1,8.0,1,0,35010.0,160.0,277,0,0,1,0
282,174747,174748,0,28,1,28.0,1,0,22183.0,26.0,196,0,1,0,0
283,143457,143458,1,40,1,12.0,1,0,2630.0,124.0,110,0,1,0,0
284,306561,306562,0,24,1,43.0,1,0,27234.0,152.0,255,0,0,1,0
285,7830,7831,1,66,1,24.0,0,1,28527.0,26.0,62,0,1,0,0
286,368894,368895,0,22,1,36.0,0,1,38193.0,152.0,264,0,0,1,0
287,153950,153951,0,58,1,26.0,0,1,32345.0,124.0,75,0,0,0,1
288,33822,33823,0,52,1,46.0,1,0,27187.0,11.0,221,0,1,0,0
289,118642,118643,0,57,1,28.0,0,0,2630.0,156.0,205,0,1,0,0
290,154816,154817,1,23,1,33.0,1,0,2630.0,152.0,220,0,0,1,0
291,262216,262217,0,30,1,10.0,1,0,25183.0,152.0,115,0,0,1,0
292,199328,199329,0,21,1,46.0,1,0,50528.0,152.0,106,0,0,1,0
293,132617,132618,1,32,1,33.0,1,0,30810.0,152.0,61,0,0,1,0
294,128504,128505,0,21,1,8.0,1,0,68960.0,152.0,31,0,0,1,0
295,302517,302518,0,68,1,47.0,0,1,51199.0,124.0,148,1,1,0,0
296,54713,54714,1,50,1,11.0,1,0,29713.0,124.0,171,0,1,0,0
297,297686,297687,0,22,1,27.0,0,1,2630.0,160.0,224,0,0,1,0
298,117570,117571,1,27,1,12.0,1,0,22360.0,152.0,203,0,0,1,0
299,142416,142417,1,23,1,50.0,1,0,23148.0,152.0,161,0,0,1,0
300,17539,17540,1,36,1,13.0,0,0,29125.0,124.0,33,0,1,0,0
301,42530,42531,1,57,1,7.0,1,0,34211.0,26.0,49,0,1,0,0
302,185575,185576,1,22,1,28.0,0,1,43145.0,124.0,39,0,1,0,0
303,231138,231139,0,50,1,28.0,1,0,49750.0,26.0,208,0,1,0,0
304,182317,182318,0,43,1,28.0,0,1,32170.0,26.0,247,1,1,0,0
305,154083,154084,0,48,1,46.0,0,1,32913.0,124.0,184,1,1,0,0
306,39860,39861,0,34,1,28.0,0,1,30795.0,26.0,134,1,1,0,0
307,320144,320145,1,34,1,31.0,1,0,2630.0,152.0,100,0,1,0,0
308,209910,209911,1,29,1,28.0,1,0,34718.0,152.0,41,0,0,1,0
309,321920,321921,1,67,1,28.0,1,1,2630.0,26.0,186,0,1,0,0
310,283614,283615,1,59,1,50.0,1,0,51876.0,26.0,130,0,1,0,0
311,68622,68623,1,33,1,37.0,0,1,24334.0,156.0,268,0,1,0,0
312,345007,345008,0,56,1,28.0,0,1,43865.0,122.0,254,1,0,0,1
313,186420,186421,1,25,1,23.0,0,1,2630.0,152.0,193,0,0,1,0
314,45377,45378,0,26,1,41.0,1,0,37167.0,152.0,234,0,0,1,0
315,97349,97350,1,28,1,35.0,1,0,46943.0,152.0,89,0,0,1,0
316,166468,166469,1,37,1,28.0,0,1,30536.0,124.0,212,0,1,0,0
317,322940,322941,0,70,1,9.0,1,0,32724.0,124.0,242,0,1,0,0
318,255275,255276,0,25,1,41.0,1,0,24022.0,152.0,298,0,0,1,0
319,345900,345901,1,44,1,28.0,0,1,37691.0,124.0,166,0,1,0,0
320,268048,268049,1,71,1,28.0,0,1,48849.0,26.0,287,0,1,0,0
321,241830,241831,1,51,1,29.0,0,1,38880.0,124.0,212,0,0,0,1
322,194184,194185,0,40,1,28.0,0,1,29540.0,26.0,220,1,1,0,0
323,35905,35906,0,49,1,33.0,0,1,24741.0,124.0,244,0,1,0,0
324,188367,188368,0,46,1,10.0,1,0,34509.0,124.0,10,0,1,0,0
325,268144,268145,1,41,1,28.0,1,0,34815.0,26.0,205,0,1,0,0
326,100659,100660,1,26,1,50.0,0,1,2630.0,156.0,132,0,1,0,0
327,196810,196811,1,53,1,28.0,0,1,36580.0,45.0,238,0,1,0,0
328,251856,251857,1,35,1,28.0,0,1,37437.0,153.0,109,0,1,0,0
329,137661,137662,1,65,1,8.0,0,1,33357.0,26.0,54,0,1,0,0
330,294944,294945,1,21,1,28.0,1,0,30485.0,152.0,283,0,0,1,0
331,297377,297378,1,24,1,28.0,0,1,45281.0,152.0,124,1,0,1,0
332,104837,104838,0,24,1,6.0,1,0,2630.0,152.0,229,0,0,1,0
333,348024,348025,1,34,1,23.0,1,0,2630.0,163.0,249,0,1,0,0
334,200217,200218,0,25,1,36.0,0,0,34231.0,152.0,33,0,0,1,0
335,315182,315183,1,42,1,28.0,0,1,39952.0,24.0,214,0,1,0,0
336,215749,215750,0,25,1,15.0,1,0,33178.0,152.0,272,0,0,1,0
